Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99955,6588,1971.07,162.79,6.59
Drew,25462,283,502.65,6.99,1.11
Waggoner,63198,4572,1246.13,112.98,7.23
West Winterton,40855,459,805.68,11.34,1.12
East Winterton,17010,0,335.14,0.0,0.0
South Winterton,26035,2594,513.46,64.1,9.96
Thibaut Ponds,26753,146,527.63,3.61,0.55
Total,299268,14642,5901.76,361.81,6.13
