Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99955,2634,1971.07,65.09,2.64
Drew,25462,131,502.65,3.24,0.51
Waggoner,63198,772,1246.13,19.08,1.22
West Winterton,40855,0,805.68,0.0,0.0
East Winterton,17010,0,335.14,0.0,0.0
South Winterton,26035,1369,513.46,33.83,5.26
Thibaut Ponds,26753,0,527.63,0.0,0.0
Total,299268,4906,5901.76,121.24,2.05
