Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99955,10316,1971.07,254.91,10.32
Drew,25462,611,502.65,15.1,2.4
Waggoner,63197,7466,1246.13,184.49,11.81
West Winterton,40855,3419,805.68,84.49,8.37
East Winterton,17010,40,335.14,0.99,0.24
South Winterton,26032,2979,513.46,73.61,11.44
Thibaut Ponds,26753,656,527.63,16.21,2.45
Total,299264,25487,5901.76,629.8,10.67
