Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99955,9773,1971.07,241.5,9.78
Drew,25462,610,502.65,15.07,2.4
Waggoner,63198,7117,1246.13,175.86,11.26
West Winterton,40855,4991,805.68,123.33,12.22
East Winterton,17010,15,335.14,0.37,0.09
South Winterton,26035,3034,513.46,74.97,11.65
Thibaut Ponds,26753,1630,527.63,40.28,6.09
Total,299268,27170,5901.76,671.38,11.38
