Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99955,8975,1971.07,221.78,8.98
Drew,25462,358,502.65,8.85,1.41
Waggoner,63198,7105,1246.13,175.57,11.24
West Winterton,40855,5092,805.68,125.83,12.46
East Winterton,17010,0,335.14,0.0,0.0
South Winterton,26035,3299,513.46,81.52,12.67
Thibaut Ponds,26753,1198,527.63,29.6,4.48
Total,299268,26027,5901.76,643.15,10.9
