Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99955,8592,1971.07,212.31,8.6
Drew,25462,304,502.65,7.51,1.19
Waggoner,63197,7474,1246.13,184.69,11.83
West Winterton,40855,6479,805.68,160.1,15.86
East Winterton,17010,0,335.14,0.0,0.0
South Winterton,26035,3121,513.46,77.12,11.99
Thibaut Ponds,26753,1509,527.63,37.29,5.64
Total,299267,27479,5901.76,679.02,11.51
