Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99950,5809,1971.05,143.54,5.81
Drew,25472,353,502.73,8.72,1.39
Waggoner,63203,10205,1246.13,252.17,16.15
West Winterton,40854,10049,805.67,248.32,24.6
East Winterton,17008,24,335.14,0.59,0.14
South Winterton,26034,4061,513.46,100.35,15.6
Thibaut Ponds,26755,1760,527.63,43.49,6.58
Total,299276,32261,5901.81,797.18,13.51
