Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99950,4487,1971.05,110.88,4.49
Drew,25472,321,502.73,7.93,1.26
Waggoner,63203,8877,1246.13,219.36,14.05
West Winterton,40854,10224,805.67,252.64,25.03
East Winterton,17008,1,335.14,0.02,0.01
South Winterton,26034,3223,513.46,79.64,12.38
Thibaut Ponds,26755,1873,527.63,46.28,7.0
Total,299276,29006,5901.81,716.75,12.14
