Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99950,1024,1971.05,25.3,1.02
Drew,25472,93,502.73,2.3,0.37
Waggoner,63203,1473,1246.13,36.4,2.33
West Winterton,40854,1881,805.67,46.48,4.6
East Winterton,17008,0,335.14,0.0,0.0
South Winterton,25982,0,513.46,0.0,0.0
Thibaut Ponds,26201,613,527.63,15.15,2.34
Total,298670,5084,5901.81,125.63,2.13
