Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99950,4190,1971.05,103.54,4.19
Drew,25472,574,502.73,14.18,2.25
Waggoner,63201,6052,1246.13,149.55,9.58
West Winterton,40854,6404,805.67,158.25,15.68
East Winterton,17008,12,335.14,0.3,0.07
South Winterton,26034,583,513.46,14.41,2.24
Thibaut Ponds,26755,2716,527.63,67.11,10.15
Total,299274,20531,5901.81,507.34,8.6
