Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99955,7736,1971.07,191.16,7.74
Drew,25462,1269,502.65,31.36,4.98
Waggoner,63198,5110,1246.13,126.27,8.09
West Winterton,40855,2318,805.68,57.28,5.67
East Winterton,17010,31,335.14,0.77,0.18
South Winterton,26035,2088,513.46,51.6,8.02
Thibaut Ponds,26753,1417,527.63,35.01,5.3
Total,299268,19969,5901.76,493.45,8.36
