Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99949,3578,1971.05,88.41,3.58
Drew,25472,527,502.73,13.02,2.07
Waggoner,63202,5756,1246.13,142.23,9.11
West Winterton,40854,6328,805.67,156.37,15.49
East Winterton,17008,9,335.14,0.22,0.05
South Winterton,26034,746,513.46,18.43,2.87
Thibaut Ponds,26755,2561,527.63,63.28,9.57
Total,299274,19505,5901.81,481.96,8.17
