Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99955,8650,1971.07,213.75,8.65
Drew,25462,323,502.65,7.98,1.27
Waggoner,63198,7629,1246.13,188.52,12.07
West Winterton,40855,6326,805.68,156.32,15.48
East Winterton,17010,0,335.14,0.0,0.0
South Winterton,26035,3063,513.46,75.69,11.76
Thibaut Ponds,26753,1475,527.63,36.45,5.51
Total,299268,27466,5901.76,678.71,11.5
