Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99955,8166,1971.07,201.79,8.17
Drew,25462,1387,502.65,34.27,5.45
Waggoner,63198,5963,1246.13,147.35,9.44
West Winterton,40855,2520,805.68,62.27,6.17
East Winterton,17010,39,335.14,0.96,0.23
South Winterton,26033,2467,513.46,60.96,9.48
Thibaut Ponds,26753,1254,527.63,30.99,4.69
Total,299266,21796,5901.76,538.59,9.13
