Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99950,5380,1971.05,132.94,5.38
Drew,25472,820,502.73,20.26,3.22
Waggoner,63201,6277,1246.13,155.11,9.93
West Winterton,40854,6809,805.67,168.25,16.67
East Winterton,17008,56,335.14,1.38,0.33
South Winterton,26034,657,513.46,16.23,2.52
Thibaut Ponds,26755,2907,527.63,71.83,10.87
Total,299274,22906,5901.81,566.0,9.59
