Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99950,264,1971.05,6.52,0.26
Drew,25472,167,502.73,4.13,0.66
Waggoner,63203,60,1246.13,1.48,0.09
West Winterton,40854,497,805.67,12.28,1.22
East Winterton,17008,0,335.14,0.0,0.0
South Winterton,26034,0,513.46,0.0,0.0
Thibaut Ponds,26755,317,527.63,7.83,1.18
Total,299276,1305,5901.81,32.24,0.55
